account number,name,sku,category,quantity,unit price,ext price,date
296809,Carroll PLC,QN-82852,Belt,13,44.48,578.24,9/27/2014 7:13
98022,Heidenreich-Bosco,MJ-21460,Shoes,19,53.62,1018.78,7/29/2014 2:10
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,12,24.16,289.92,3/1/2014 10:51
93356,Waters-Walker,AS-93055,Shirt,5,82.68,413.4,11/17/2013 20:41
659366,Waelchi-Fahey,AS-93055,Shirt,18,99.64,1793.52,1/3/2014 8:14
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,52.82,897.94,12/4/2013 2:07
995267,Cole-Eichmann,GS-86623,Shoes,18,15.28,275.04,4/9/2014 16:15
524021,Hegmann and Sons,LL-46261,Shoes,7,78.78,551.46,6/18/2014 19:25
929400,"Senger, Upton and Breitenberg",LW-86841,Shoes,17,38.19,649.23,2/10/2014 5:55
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,12,26.98,323.76,5/20/2014 0:21
995267,Cole-Eichmann,KV-99194,Shirt,19,60.22,1144.18,3/10/2014 6:23
524021,Hegmann and Sons,QN-82852,Belt,6,13.12,78.72,11/3/2013 18:38
758133,"Kihn, McClure and Denesik",LL-46261,Shoes,4,59.69,238.76,1/11/2014 21:48
555594,"Ernser, Cruickshank and Lind",FK-71853,Shirt,12,97.25,1167,9/19/2014 13:20
201259,Koelpin PLC,GS-86623,Shoes,9,81.44,732.96,8/12/2014 8:05
93356,Waters-Walker,LL-46261,Shoes,18,53.33,959.94,7/15/2014 23:21
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,4,35.62,142.48,10/5/2014 23:38
201259,Koelpin PLC,KV-99194,Shirt,17,98.23,1669.91,1/26/2014 1:52
758133,"Kihn, McClure and Denesik",WJ-02096,Belt,15,69.52,1042.8,11/13/2013 21:38
296809,Carroll PLC,VG-32047,Shirt,12,80.12,961.44,5/24/2014 16:03
750461,"Volkman, Goyette and Lemke",WJ-02096,Belt,13,81.19,1055.47,1/8/2014 2:45
929400,"Senger, Upton and Breitenberg",LL-46261,Shoes,2,48.15,96.3,4/28/2014 7:01
563905,"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,1,54.94,54.94,8/9/2014 11:22
734922,Berge LLC,QN-82852,Belt,4,57.75,231,11/4/2013 9:48
296809,Carroll PLC,AS-93055,Shirt,14,47.68,667.52,1/12/2014 0:28
304860,Huel-Haag,QN-82852,Belt,2,41.4,82.8,9/23/2014 2:36
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,6,58.52,351.12,3/14/2014 2:28
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,12,96.62,1159.44,12/13/2013 3:19
850140,Kunze Inc,KV-99194,Shirt,12,93.67,1124.04,2/19/2014 6:03
115138,Gorczany-Hahn,VG-32047,Shirt,12,72.63,871.56,2/7/2014 3:30
711951,Kilback-Gerlach,AS-93055,Shirt,2,90.8,181.6,3/26/2014 20:56
676847,Hamill-Hackett,AS-93055,Shirt,6,42.96,257.76,11/14/2013 22:16
711951,Kilback-Gerlach,AS-93055,Shirt,1,71.5,71.5,4/14/2014 16:58
305803,"Davis, Kshlerin and Reilly",AS-93055,Shirt,1,74.43,74.43,9/20/2014 9:49
201259,Koelpin PLC,GS-86623,Shoes,8,35.38,283.04,12/12/2013 2:37
115138,Gorczany-Hahn,QN-82852,Belt,16,24.87,397.92,2/20/2014 7:42
296809,Carroll PLC,WJ-02096,Belt,14,15.33,214.62,12/3/2013 1:25
93356,Waters-Walker,AS-93055,Shirt,12,94.34,1132.08,9/4/2014 13:39
850140,Kunze Inc,MJ-21460,Shoes,18,12.78,230.04,2/20/2014 13:18
676847,Hamill-Hackett,LL-46261,Shoes,3,28.71,86.13,1/2/2014 12:49
115138,Gorczany-Hahn,VG-32047,Shirt,11,11.21,123.31,12/10/2013 20:13
201259,Koelpin PLC,KV-99194,Shirt,4,29.79,119.16,11/7/2013 17:43
201259,Koelpin PLC,LW-86841,Shoes,11,35.82,394.02,6/21/2014 19:49
676847,Hamill-Hackett,WJ-02096,Belt,6,55.43,332.58,8/8/2014 13:50
304860,Huel-Haag,GS-86623,Shoes,4,95.75,383,3/15/2014 12:50
304860,Huel-Haag,MJ-21460,Shoes,10,12.63,126.3,6/5/2014 22:34
850140,Kunze Inc,MJ-21460,Shoes,10,26.21,262.1,4/21/2014 2:14
758133,"Kihn, McClure and Denesik",LW-86841,Shoes,11,92.1,1013.1,3/21/2014 14:26
750461,"Volkman, Goyette and Lemke",MJ-21460,Shoes,10,98.27,982.7,10/2/2014 4:41
555594,"Ernser, Cruickshank and Lind",FK-71853,Shirt,6,65.4,392.4,9/17/2014 19:15
995267,Cole-Eichmann,KV-99194,Shirt,10,23.79,237.9,11/17/2013 23:56
201259,Koelpin PLC,MJ-21460,Shoes,7,52.01,364.07,5/23/2014 17:49
758133,"Kihn, McClure and Denesik",FK-71853,Shirt,11,13.06,143.66,3/1/2014 8:58
850140,Kunze Inc,GS-86623,Shoes,14,92.43,1294.02,8/3/2014 21:22
201259,Koelpin PLC,FK-71853,Shirt,14,57.69,807.66,5/26/2014 16:29
555594,"Ernser, Cruickshank and Lind",KV-99194,Shirt,10,83.05,830.5,1/5/2014 10:16
98022,Heidenreich-Bosco,GS-86623,Shoes,10,26.49,264.9,2/12/2014 7:27
929400,"Senger, Upton and Breitenberg",GS-86623,Shoes,15,88.24,1323.6,7/9/2014 19:31
305803,"Davis, Kshlerin and Reilly",LL-46261,Shoes,13,75.38,979.94,3/5/2014 9:26
850140,Kunze Inc,LW-86841,Shoes,16,66.61,1065.76,7/25/2014 22:56
734922,Berge LLC,GS-86623,Shoes,3,99.88,299.64,8/4/2014 23:08
995267,Cole-Eichmann,AS-93055,Shirt,7,41.75,292.25,7/8/2014 15:01
115138,Gorczany-Hahn,AS-93055,Shirt,13,22.23,288.99,1/13/2014 18:31
929400,"Senger, Upton and Breitenberg",QN-82852,Belt,18,71.38,1284.84,9/24/2014 4:14
98022,Heidenreich-Bosco,LW-86841,Shoes,9,89.82,808.38,11/30/2013 23:19
115138,Gorczany-Hahn,KV-99194,Shirt,10,85.12,851.2,5/17/2014 3:23
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,17,75.04,1275.68,2/9/2014 16:56
750461,"Volkman, Goyette and Lemke",KV-99194,Shirt,3,45.05,135.15,2/17/2014 4:26
563905,"Kerluke, Reilly and Bechtelar",GS-86623,Shoes,16,76.77,1228.32,1/5/2014 2:40
659366,Waelchi-Fahey,VG-32047,Shirt,11,99.09,1089.99,7/15/2014 21:09
555594,"Ernser, Cruickshank and Lind",AS-93055,Shirt,3,71.25,213.75,9/29/2014 6:24
563905,"Kerluke, Reilly and Bechtelar",QN-82852,Belt,14,40.3,564.2,1/15/2014 18:10
659366,Waelchi-Fahey,AS-93055,Shirt,1,10.38,10.38,9/12/2014 21:26
304860,Huel-Haag,GS-86623,Shoes,8,69.32,554.56,8/5/2014 15:34
758133,"Kihn, McClure and Denesik",QN-82852,Belt,12,82.74,992.88,7/28/2014 0:55
524021,Hegmann and Sons,QN-82852,Belt,17,81.64,1387.88,5/29/2014 5:51
676847,Hamill-Hackett,LL-46261,Shoes,5,50.63,253.15,10/22/2014 11:43
850140,Kunze Inc,LW-86841,Shoes,6,81.41,488.46,9/11/2014 8:41
115138,Gorczany-Hahn,QN-82852,Belt,13,18.45,239.85,1/19/2014 21:22
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,17.36,295.12,1/29/2014 14:09
304860,Huel-Haag,AS-93055,Shirt,9,55.09,495.81,6/28/2014 22:39
995267,Cole-Eichmann,LL-46261,Shoes,3,17.54,52.62,1/17/2014 19:11
758133,"Kihn, McClure and Denesik",AS-93055,Shirt,7,82.51,577.57,1/13/2014 8:06
304860,Huel-Haag,WJ-02096,Belt,3,14.9,44.7,11/21/2013 14:28
659366,Waelchi-Fahey,FK-71853,Shirt,6,89.05,534.3,5/15/2014 2:19
563905,"Kerluke, Reilly and Bechtelar",QN-82852,Belt,18,57.99,1043.82,9/25/2014 6:23
201259,Koelpin PLC,VG-32047,Shirt,1,35.82,35.82,4/1/2014 11:12
734922,Berge LLC,LW-86841,Shoes,5,56,280,11/22/2013 17:45
555594,"Ernser, Cruickshank and Lind",WJ-02096,Belt,7,77.52,542.64,2/1/2014 9:30
555594,"Ernser, Cruickshank and Lind",LL-46261,Shoes,12,47.07,564.84,8/8/2014 11:08
758133,"Kihn, McClure and Denesik",KV-99194,Shirt,18,70.12,1262.16,10/25/2013 3:43
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,20,28.61,572.2,9/30/2014 19:16
115138,Gorczany-Hahn,FK-71853,Shirt,12,73.92,887.04,5/15/2014 13:22
201259,Koelpin PLC,FK-71853,Shirt,2,38.82,77.64,12/10/2013 17:54
299771,"Kuphal, Zieme and Kub",KV-99194,Shirt,14,69.26,969.64,1/20/2014 20:34
734922,Berge LLC,GS-86623,Shoes,19,28.54,542.26,10/26/2013 17:03
296809,Carroll PLC,LL-46261,Shoes,7,79.15,554.05,3/7/2014 9:38
299771,"Kuphal, Zieme and Kub",GS-86623,Shoes,20,36.19,723.8,7/2/2014 8:35
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,19,93.21,1770.99,4/20/2014 18:58
201259,Koelpin PLC,MJ-21460,Shoes,5,23.76,118.8,8/17/2014 11:00
115138,Gorczany-Hahn,FK-71853,Shirt,2,44.1,88.2,8/9/2014 18:31
115138,Gorczany-Hahn,LL-46261,Shoes,20,41.05,821,2/20/2014 7:29
305803,"Davis, Kshlerin and Reilly",LW-86841,Shoes,19,47.78,907.82,2/22/2014 13:15
711951,Kilback-Gerlach,LW-86841,Shoes,9,95.92,863.28,5/29/2014 22:08
93356,Waters-Walker,GS-86623,Shoes,4,50.1,200.4,8/11/2014 2:09
98022,Heidenreich-Bosco,WJ-02096,Belt,10,75.51,755.1,10/22/2013 23:19
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,19,64.38,1223.22,9/2/2014 21:51
524021,Hegmann and Sons,FK-71853,Shirt,12,17.42,209.04,1/22/2014 14:25
115138,Gorczany-Hahn,MJ-21460,Shoes,11,81.67,898.37,9/6/2014 11:50
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,6,74.08,444.48,2/28/2014 18:37
299771,"Kuphal, Zieme and Kub",MJ-21460,Shoes,18,25.91,466.38,8/12/2014 22:48
524021,Hegmann and Sons,LL-46261,Shoes,6,57.32,343.92,12/20/2013 12:38
750461,"Volkman, Goyette and Lemke",QN-82852,Belt,6,78.61,471.66,12/18/2013 12:13
563905,"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,5,50.85,254.25,8/2/2014 5:30
750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,13,72.12,937.56,3/9/2014 14:23
299771,"Kuphal, Zieme and Kub",MJ-21460,Shoes,14,24.91,348.74,4/6/2014 19:20
555594,"Ernser, Cruickshank and Lind",MJ-21460,Shoes,9,43.25,389.25,4/26/2014 16:22
299771,"Kuphal, Zieme and Kub",QN-82852,Belt,12,66.32,795.84,11/19/2013 4:47
659366,Waelchi-Fahey,AS-93055,Shirt,2,24.3,48.6,11/10/2013 13:25
734922,Berge LLC,MJ-21460,Shoes,12,53.7,644.4,9/27/2014 2:51
201259,Koelpin PLC,LL-46261,Shoes,16,80.82,1293.12,8/19/2014 0:53
555594,"Ernser, Cruickshank and Lind",QN-82852,Belt,10,91.71,917.1,6/25/2014 19:11
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,11,16.05,176.55,9/26/2014 3:52
93356,Waters-Walker,VG-32047,Shirt,17,86.18,1465.06,8/13/2014 15:42
758133,"Kihn, McClure and Denesik",LW-86841,Shoes,14,87.56,1225.84,4/27/2014 7:55
676847,Hamill-Hackett,GS-86623,Shoes,20,27.49,549.8,7/2/2014 12:51
93356,Waters-Walker,GS-86623,Shoes,4,73.11,292.44,8/21/2014 19:29
758133,"Kihn, McClure and Denesik",FK-71853,Shirt,11,90.64,997.04,5/11/2014 6:10
555594,"Ernser, Cruickshank and Lind",KV-99194,Shirt,12,72.17,866.04,9/15/2014 20:49
659366,Waelchi-Fahey,LL-46261,Shoes,9,50.76,456.84,8/29/2014 11:32
93356,Waters-Walker,FK-71853,Shirt,16,21.43,342.88,5/25/2014 0:38
93356,Waters-Walker,LL-46261,Shoes,20,21.09,421.8,12/23/2013 4:50
524021,Hegmann and Sons,VG-32047,Shirt,20,25.37,507.4,7/19/2014 17:18
676847,Hamill-Hackett,KV-99194,Shirt,20,29.59,591.8,1/1/2014 19:55
995267,Cole-Eichmann,KV-99194,Shirt,17,20.24,344.08,10/1/2014 21:20
850140,Kunze Inc,WJ-02096,Belt,13,71.35,927.55,6/9/2014 20:22
524021,Hegmann and Sons,KV-99194,Shirt,16,79.67,1274.72,10/25/2013 7:31
711951,Kilback-Gerlach,LW-86841,Shoes,2,60.75,121.5,5/17/2014 13:10
299771,"Kuphal, Zieme and Kub",KV-99194,Shirt,5,44.47,222.35,4/11/2014 5:00
93356,Waters-Walker,GS-86623,Shoes,2,86.17,172.34,3/12/2014 14:25
555594,"Ernser, Cruickshank and Lind",LW-86841,Shoes,14,54.5,763,10/6/2014 9:47
299771,"Kuphal, Zieme and Kub",AS-93055,Shirt,18,37.75,679.5,4/5/2014 20:02
299771,"Kuphal, Zieme and Kub",FK-71853,Shirt,20,32.7,654,4/26/2014 5:18
296809,Carroll PLC,MJ-21460,Shoes,15,93.06,1395.9,8/17/2014 18:39
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,17,49.59,843.03,10/29/2013 12:57
750461,"Volkman, Goyette and Lemke",WJ-02096,Belt,17,45.43,772.31,5/9/2014 6:44
711951,Kilback-Gerlach,AS-93055,Shirt,2,31.54,63.08,1/26/2014 5:15
304860,Huel-Haag,LW-86841,Shoes,6,93.02,558.12,11/23/2013 8:51
750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,16,57.02,912.32,10/14/2014 14:07
711951,Kilback-Gerlach,FK-71853,Shirt,11,53.17,584.87,6/10/2014 15:11
305803,"Davis, Kshlerin and Reilly",LL-46261,Shoes,12,52.51,630.12,8/3/2014 3:39
115138,Gorczany-Hahn,MJ-21460,Shoes,13,96.31,1252.03,12/3/2013 4:04
201259,Koelpin PLC,LW-86841,Shoes,16,90.97,1455.52,8/29/2014 7:41
734922,Berge LLC,KV-99194,Shirt,7,64.02,448.14,11/5/2013 3:55
563905,"Kerluke, Reilly and Bechtelar",GS-86623,Shoes,15,18.41,276.15,3/2/2014 17:47
305803,"Davis, Kshlerin and Reilly",MJ-21460,Shoes,2,29.63,59.26,3/27/2014 23:48
750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,4,46.82,187.28,2/15/2014 6:51
850140,Kunze Inc,VG-32047,Shirt,9,93.69,843.21,3/20/2014 15:25
93356,Waters-Walker,GS-86623,Shoes,15,64.11,961.65,10/23/2013 8:28
304860,Huel-Haag,LL-46261,Shoes,3,48.87,146.61,4/3/2014 22:36
929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,14,87.01,1218.14,12/14/2013 16:40
929400,"Senger, Upton and Breitenberg",KV-99194,Shirt,4,17.98,71.92,7/22/2014 19:10
734922,Berge LLC,AS-93055,Shirt,10,93.77,937.7,8/17/2014 9:21
734922,Berge LLC,MJ-21460,Shoes,6,84.73,508.38,7/20/2014 18:27
711951,Kilback-Gerlach,QN-82852,Belt,11,45.49,500.39,11/12/2013 10:13
299771,"Kuphal, Zieme and Kub",LL-46261,Shoes,17,70.23,1193.91,8/14/2014 13:57
995267,Cole-Eichmann,FK-71853,Shirt,10,51.29,512.9,9/16/2014 5:26
93356,Waters-Walker,AS-93055,Shirt,16,75.48,1207.68,8/23/2014 4:04
676847,Hamill-Hackett,MJ-21460,Shoes,19,56.9,1081.1,10/21/2014 8:46
524021,Hegmann and Sons,FK-71853,Shirt,10,71.89,718.9,9/11/2014 0:45
929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,10,13.02,130.2,6/30/2014 10:31
304860,Huel-Haag,MJ-21460,Shoes,3,79.49,238.47,6/2/2014 13:06
734922,Berge LLC,AS-93055,Shirt,11,81.53,896.83,9/1/2014 17:46
659366,Waelchi-Fahey,LL-46261,Shoes,1,18.68,18.68,5/19/2014 18:10
201259,Koelpin PLC,MJ-21460,Shoes,20,45.32,906.4,7/6/2014 22:06
711951,Kilback-Gerlach,AS-93055,Shirt,10,68.74,687.4,3/27/2014 12:14
750461,"Volkman, Goyette and Lemke",AS-93055,Shirt,10,90,900,7/10/2014 22:17
995267,Cole-Eichmann,WJ-02096,Belt,6,20.3,121.8,5/23/2014 10:24
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,17,58.67,997.39,12/8/2013 13:43
659366,Waelchi-Fahey,FK-71853,Shirt,2,12.68,25.36,4/27/2014 3:38
676847,Hamill-Hackett,GS-86623,Shoes,17,49.68,844.56,1/28/2014 15:37
524021,Hegmann and Sons,MJ-21460,Shoes,2,95.37,190.74,3/30/2014 8:27
524021,Hegmann and Sons,AS-93055,Shirt,20,96.98,1939.6,6/13/2014 18:23
296809,Carroll PLC,VG-32047,Shirt,16,23.79,380.64,2/26/2014 18:22
995267,Cole-Eichmann,KV-99194,Shirt,2,37.86,75.72,4/4/2014 19:30
304860,Huel-Haag,KV-99194,Shirt,9,66.18,595.62,1/15/2014 11:55
524021,Hegmann and Sons,KV-99194,Shirt,6,98.89,593.34,4/22/2014 0:24
758133,"Kihn, McClure and Denesik",VG-32047,Shirt,4,25.02,100.08,5/26/2014 6:54
563905,"Kerluke, Reilly and Bechtelar",WJ-02096,Belt,16,64.58,1033.28,12/17/2013 23:35
305803,"Davis, Kshlerin and Reilly",FK-71853,Shirt,18,48.7,876.6,2/10/2014 8:43
734922,Berge LLC,QN-82852,Belt,16,24.66,394.56,12/12/2013 0:57
563905,"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,5,43.15,215.75,4/6/2014 6:24
296809,Carroll PLC,QN-82852,Belt,2,54.52,109.04,8/24/2014 9:43
929400,"Senger, Upton and Breitenberg",WJ-02096,Belt,8,91.14,729.12,6/11/2014 10:12
98022,Heidenreich-Bosco,LW-86841,Shoes,13,65.79,855.27,6/28/2014 4:47
750461,"Volkman, Goyette and Lemke",AS-93055,Shirt,8,14.73,117.84,3/19/2014 5:18
758133,"Kihn, McClure and Denesik",VG-32047,Shirt,14,96.18,1346.52,10/4/2014 9:49
524021,Hegmann and Sons,MJ-21460,Shoes,6,81.1,486.6,2/15/2014 15:29
98022,Heidenreich-Bosco,FK-71853,Shirt,12,38.32,459.84,6/25/2014 9:29
929400,"Senger, Upton and Breitenberg",FK-71853,Shirt,3,51.8,155.4,3/31/2014 4:17
850140,Kunze Inc,FK-71853,Shirt,13,40.29,523.77,9/1/2014 23:53
98022,Heidenreich-Bosco,KV-99194,Shirt,10,22.17,221.7,2/26/2014 6:59
711951,Kilback-Gerlach,MJ-21460,Shoes,15,43.41,651.15,3/9/2014 0:29
115138,Gorczany-Hahn,KV-99194,Shirt,11,67.32,740.52,2/28/2014 18:44
524021,Hegmann and Sons,FK-71853,Shirt,3,17.9,53.7,10/14/2014 19:22
563905,"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,7,44.27,309.89,10/8/2014 13:05
524021,Hegmann and Sons,FK-71853,Shirt,18,51.72,930.96,2/14/2014 0:05
305803,"Davis, Kshlerin and Reilly",AS-93055,Shirt,9,22.01,198.09,4/8/2014 3:17
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,10,36.38,363.8,1/2/2014 13:43
304860,Huel-Haag,FK-71853,Shirt,11,63.78,701.58,7/15/2014 23:58
201259,Koelpin PLC,MJ-21460,Shoes,10,56.51,565.1,9/22/2014 16:34
555594,"Ernser, Cruickshank and Lind",AS-93055,Shirt,2,10.47,20.94,4/23/2014 15:24
734922,Berge LLC,GS-86623,Shoes,8,21.39,171.12,3/12/2014 11:43
201259,Koelpin PLC,LL-46261,Shoes,13,26.49,344.37,9/9/2014 14:59
758133,"Kihn, McClure and Denesik",VG-32047,Shirt,20,95.6,1912,10/12/2014 20:10
995267,Cole-Eichmann,LL-46261,Shoes,17,72.91,1239.47,2/26/2014 16:19
659366,Waelchi-Fahey,FK-71853,Shirt,15,89.45,1341.75,9/9/2014 9:21
305803,"Davis, Kshlerin and Reilly",KV-99194,Shirt,4,63.39,253.56,9/15/2014 18:49
305803,"Davis, Kshlerin and Reilly",QN-82852,Belt,15,51.64,774.6,9/7/2014 2:44
115138,Gorczany-Hahn,LW-86841,Shoes,6,72.98,437.88,6/15/2014 3:34
850140,Kunze Inc,MJ-21460,Shoes,8,63.28,506.24,6/21/2014 21:09
555594,"Ernser, Cruickshank and Lind",WJ-02096,Belt,15,63.31,949.65,4/23/2014 6:25
734922,Berge LLC,MJ-21460,Shoes,10,44.59,445.9,5/4/2014 18:52
563905,"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,7,41.87,293.09,12/9/2013 1:15
299771,"Kuphal, Zieme and Kub",LW-86841,Shoes,4,35,140,4/13/2014 20:37
659366,Waelchi-Fahey,WJ-02096,Belt,13,68.39,889.07,11/27/2013 12:45
555594,"Ernser, Cruickshank and Lind",LL-46261,Shoes,8,82.19,657.52,7/19/2014 13:51
296809,Carroll PLC,AS-93055,Shirt,1,58.8,58.8,9/6/2014 13:00
296809,Carroll PLC,QN-82852,Belt,16,27.44,439.04,7/6/2014 13:23
296809,Carroll PLC,MJ-21460,Shoes,14,99.5,1393,6/7/2014 23:28
929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,3,56.34,169.02,7/13/2014 9:41
995267,Cole-Eichmann,LW-86841,Shoes,9,83.87,754.83,7/28/2014 1:53
296809,Carroll PLC,MJ-21460,Shoes,19,56.63,1075.97,12/8/2013 2:40
711951,Kilback-Gerlach,WJ-02096,Belt,1,56.95,56.95,3/8/2014 15:50
524021,Hegmann and Sons,GS-86623,Shoes,10,31.81,318.1,11/18/2013 23:11
995267,Cole-Eichmann,QN-82852,Belt,13,40.34,524.42,9/8/2014 14:00
758133,"Kihn, McClure and Denesik",GS-86623,Shoes,10,91.59,915.9,3/19/2014 14:06
758133,"Kihn, McClure and Denesik",GS-86623,Shoes,7,95.78,670.46,5/16/2014 23:44
296809,Carroll PLC,LL-46261,Shoes,9,90.91,818.19,10/11/2014 20:37
758133,"Kihn, McClure and Denesik",AS-93055,Shirt,12,24.09,289.08,12/8/2013 6:53
711951,Kilback-Gerlach,LL-46261,Shoes,9,10.81,97.29,12/6/2013 0:59
93356,Waters-Walker,QN-82852,Belt,3,59.61,178.83,8/2/2014 13:29
201259,Koelpin PLC,WJ-02096,Belt,16,16.3,260.8,4/5/2014 2:00
929400,"Senger, Upton and Breitenberg",LL-46261,Shoes,4,23.08,92.32,9/13/2014 11:34
524021,Hegmann and Sons,MJ-21460,Shoes,18,42.01,756.18,11/27/2013 3:18
676847,Hamill-Hackett,LL-46261,Shoes,5,74.02,370.1,11/10/2013 7:30
93356,Waters-Walker,QN-82852,Belt,11,77.66,854.26,3/15/2014 17:01
